sottorete,strato,attributo,categorie,n_categorie,archi_usati,archi_totali,quota_archi_usati,r,ci_lo,ci_hi,r_null,z
all,tutto,gender,determinati soltanto,2,470690,586040,0.8031704320524197,0.043150446936360685,0.039936922973716774,0.04646183108166802,0.0001116015423217169,29.209453796169466
all,tutto,gender,tutte le categorie,3,586040,586040,1.0,0.08103924674668031,0.0787665009897621,0.08341505632209115,-2.784333746703354e-05,81.84376998329282
all,tutto,musical_genre,determinati soltanto,15,503971,586040,0.8599600709849157,0.562179072749446,0.5606223543964327,0.5638230170200814,-4.8646343105838596e-05,774.0472920870645
all,tutto,musical_genre,tutte le categorie,16,586040,586040,1.0,0.4969750817535327,0.4955076679275109,0.49841596812304356,-9.403156468003392e-06,815.2591174894609
all,pre2000,gender,determinati soltanto,2,333067,394423,0.8444411203200625,0.04057993755411178,0.0366970176895805,0.04434055656720621,-4.1601200197072445e-05,22.87235021365066
all,pre2000,gender,tutte le categorie,3,394423,394423,1.0,0.05764472936823414,0.054792549649690006,0.06047172064572642,-1.738570986106728e-05,44.942311497126305
all,pre2000,musical_genre,determinati soltanto,15,362127,394423,0.9181183653083111,0.5103243789156827,0.5082273277500877,0.5123732362960792,-2.0954295174855016e-06,606.4209911675005
all,pre2000,musical_genre,tutte le categorie,16,394423,394423,1.0,0.470351493833203,0.4684720964077453,0.47212587207218426,-8.931026483112024e-06,601.2099930698421
all,post2000,gender,determinati soltanto,2,61015,92968,0.6563010928491524,0.06934053918975226,0.05976764095609278,0.0788217563413741,0.00011602372092968427,17.942196854309177
all,post2000,gender,tutte le categorie,3,92968,92968,1.0,0.14791587285742955,0.14156955501356117,0.1532500241975356,-2.556848461838261e-05,55.356470838425345
all,post2000,musical_genre,determinati soltanto,15,64388,92968,0.6925823939420015,0.7100806385304407,0.7062247679502728,0.7141128077300988,9.686916533081478e-05,340.8518576227717
all,post2000,musical_genre,tutte le categorie,16,92968,92968,1.0,0.544478550522886,0.5406890042432543,0.5481958183833382,-2.7137855729264644e-05,344.07726305162714
creative,tutto,gender,determinati soltanto,2,179908,199832,0.9002962488490331,0.022382054304926593,0.01720244935443993,0.02789618131050531,-9.512450787849694e-06,9.644554331345633
creative,tutto,gender,tutte le categorie,3,199832,199832,1.0,0.07034712202260347,0.06581835637658466,0.07496780567187568,2.422959957481957e-05,41.282230593136696
creative,tutto,musical_genre,determinati soltanto,15,184147,199832,0.9215090676167981,0.5770024811652514,0.5743335619061887,0.5798939834231156,-2.931273943751848e-05,391.07567258947387
creative,tutto,musical_genre,tutte le categorie,16,199832,199832,1.0,0.535136346965067,0.5323246604478937,0.5377465234259303,3.984527350070384e-05,418.22607310784883
creative,pre2000,gender,determinati soltanto,2,146391,156982,0.9325336662802105,0.022403514459179003,0.01652741696352833,0.0282075617438803,9.1760874083248e-05,8.755777794020599
creative,pre2000,gender,tutte le categorie,3,156982,156982,1.0,0.026914671886846434,0.02238594929662147,0.03156711532757665,-0.00018598195411556598,14.446332855109649
creative,pre2000,musical_genre,determinati soltanto,15,149499,156982,0.9523321145099438,0.5208900016540781,0.5176628352372069,0.524272039242533,7.350551888683754e-05,337.78182214751763
creative,pre2000,musical_genre,tutte le categorie,16,156982,156982,1.0,0.49446276724700816,0.4913870532277239,0.49769621507113637,-6.462348942876117e-07,349.63155021358097
creative,post2000,gender,determinati soltanto,2,13668,19308,0.7078931013051585,0.04438034464915267,0.022674179869700033,0.0655378925276617,-8.197028348180124e-05,4.971437022039614
creative,post2000,gender,tutte le categorie,3,19308,19308,1.0,0.1616154488969732,0.1478146017929215,0.17529223510866435,-6.225879324980615e-05,27.130801806814887
creative,post2000,musical_genre,determinati soltanto,15,14659,19308,0.7592189765900145,0.7868219643089206,0.7787763663573621,0.7952642469110472,0.000185343626657477,153.4846387168506
creative,post2000,musical_genre,tutte le categorie,16,19308,19308,1.0,0.6234986704209621,0.6145328681809709,0.6319759654911691,-0.0002132220752315728,159.4237338365447
performance,tutto,gender,determinati soltanto,2,160881,211751,0.7597650070129539,0.1054404275366901,0.09957987527726607,0.11146827391242976,-0.00010189723906761597,44.015578406684114
performance,tutto,gender,tutte le categorie,3,211751,211751,1.0,0.17039701544276067,0.16671097946031474,0.17411921635531347,2.9399650596478978e-05,103.92080363090933
performance,tutto,musical_genre,determinati soltanto,15,171934,211751,0.8119631076122427,0.6152685790970835,0.6125135965158865,0.6177068399656862,-8.211242719009092e-07,585.312025690316
performance,tutto,musical_genre,tutte le categorie,16,211751,211751,1.0,0.5304548897671044,0.5279294338609802,0.5327051077163605,9.57514758510463e-05,580.8117271663295
performance,pre2000,gender,determinati soltanto,2,95250,116673,0.8163842534262425,0.11056262749785584,0.10283754715581743,0.11801301091531026,8.371422504739639e-05,35.97808447801298
performance,pre2000,gender,tutte le categorie,3,116673,116673,1.0,0.17331463253162557,0.16791231465575585,0.178498954663285,-6.854128233619145e-05,76.31771283576546
performance,pre2000,musical_genre,determinati soltanto,15,103792,116673,0.8895974218542422,0.5612214462717422,0.5581840121643661,0.5646922851300038,-2.9252225397805066e-05,382.1434284436379
performance,pre2000,musical_genre,tutte le categorie,16,116673,116673,1.0,0.513236910034421,0.5100651210948491,0.5164143699848205,1.0309052916015756e-05,406.1995248100509
performance,post2000,gender,determinati soltanto,2,31344,49702,0.6306386060923101,0.10503087929382962,0.09131371150803884,0.11796282393698872,3.1458060570469934e-05,18.779649093285467
performance,post2000,gender,tutte le categorie,3,49702,49702,1.0,0.1984759030006135,0.19089706980120527,0.20658844247743569,-8.504446499068025e-05,54.123860024238965
performance,post2000,musical_genre,determinati soltanto,15,33316,49702,0.6703150778640699,0.7482071279967039,0.7427515855101505,0.7533340481196392,-5.163244443972069e-05,247.0234388629724
performance,post2000,musical_genre,tutte le categorie,16,49702,49702,1.0,0.5736845383271079,0.5684510226929415,0.5786560408230066,-5.895043639269483e-05,266.43369829856204
