sottorete,strato,attributo,archi,r,ci_lo,ci_hi,r_null,z
all,tutto,gender,586040,0.08103924674668031,0.07870151557950235,0.08343759359631692,5.278513778901526e-05,75.71048174478322
all,tutto,musical_genre,586040,0.4969750817535327,0.4955254457293612,0.4985558365893391,9.798262671635992e-06,835.7633267850904
all,pre2000,gender,394423,0.05764472936823414,0.05465762870134436,0.06060703638581253,-5.01840105773662e-05,45.200509141133466
all,pre2000,musical_genre,394423,0.470351493833203,0.46863179753565437,0.4723841465802659,3.876454817946944e-05,631.3483078527113
all,post2000,gender,92968,0.14791587285742955,0.14220306909739522,0.15387212969042188,5.190932118956942e-05,58.58283941822976
all,post2000,musical_genre,92968,0.544478550522886,0.5405116132875021,0.5482446508327119,3.166460793045579e-05,342.8420072153554
creative,tutto,gender,199832,0.07034712202260347,0.06535575632831936,0.07478241135122668,-1.9181332229154765e-06,42.39325418505862
creative,tutto,musical_genre,199832,0.535136346965067,0.5324619175316949,0.5377232605991547,-5.3349315971265645e-05,415.04244900410754
creative,pre2000,gender,156982,0.026914671886846434,0.02235301511599433,0.031530894921591716,1.9867262338519806e-07,13.975263663972394
creative,pre2000,musical_genre,156982,0.49446276724700816,0.49140887844541387,0.49770377093273765,-6.705622362524608e-05,356.9871559991242
creative,post2000,gender,19308,0.1616154488969732,0.14736004381981768,0.17566791143363086,-0.00015174365752777203,25.461271300052335
creative,post2000,musical_genre,19308,0.6234986704209621,0.6154263695361368,0.6317953855621004,7.654439245160677e-05,161.61011370682132
performance,tutto,gender,211751,0.17039701544276067,0.1663255905674885,0.17435473570205873,5.0015879109604714e-05,99.67688902926567
performance,tutto,musical_genre,211751,0.5304548897671044,0.5279565938893682,0.5329173902754881,1.803957107944088e-05,586.8715858922867
performance,pre2000,gender,116673,0.17331463253162557,0.1682422348866023,0.17868402027562233,9.22018770310562e-05,77.57408430863968
performance,pre2000,musical_genre,116673,0.513236910034421,0.5098433166519667,0.5165519751760953,-8.003586938197623e-05,410.86490879183214
performance,post2000,gender,49702,0.1984759030006135,0.1904965301554642,0.20607051951441194,2.466888311596068e-05,53.993410358036684
performance,post2000,musical_genre,49702,0.5736845383271079,0.5688811951007838,0.5784157225780424,-3.0035740067486205e-05,252.76227554421897
