musical_genre,Blues,Brass & Military,Children's,Classical,Electronic,"Folk, World, & Country",Funk / Soul,Hip Hop,Jazz,Latin,Non-Music,Pop,Reggae,Rock,Stage & Screen,Unknown
Blues,0.0005579173741447995,7.116293037561218e-07,7.116293037561218e-06,3.558146518780609e-05,0.00026543773030103345,0.0001266700160685897,2.7753542846488748e-05,3.771635309907446e-05,0.00023626092884703243,7.116293037561218e-06,2.8465172150244874e-06,0.0004298240994686976,1.8502361897659166e-05,0.0005870941755988005,9.962810252585706e-06,0.00041630314269733125
Brass & Military,7.116293037561218e-07,0.00022345160137942225,5.693034430048975e-06,5.266056847795301e-05,9.251180948829583e-06,0.00011670720581600398,4.269775822536731e-06,0.0,3.344657727653773e-05,4.269775822536731e-06,8.539551645073462e-06,0.00019996783435547022,7.116293037561218e-07,4.269775822536731e-05,3.202331866902548e-05,7.045130107185605e-05
Children's,7.116293037561218e-06,5.693034430048975e-06,0.0018630455172335269,0.0001074560248671744,0.00035723791048557316,0.0003465634709292313,1.8502361897659166e-05,1.5655844682634678e-05,0.000140190972839956,2.7753542846488748e-05,9.535832670332033e-05,0.0028607498010996095,0.0,0.0001921399120141529,0.00016794451568644475,0.00037716353099074456
Classical,3.558146518780609e-05,5.266056847795301e-05,0.0001074560248671744,0.008249206889140964,0.0010453834472177429,0.001016206645763742,5.1237309870440767e-05,3.985124101034282e-05,0.0011065835673407694,4.6967534047904037e-05,0.00019854457574795798,0.002728386750600971,4.269775822536731e-06,0.0009784902926646675,0.00038783797054708636,0.002634451682505163
Electronic,0.00026543773030103345,9.251180948829583e-06,0.00035723791048557316,0.0010453834472177429,0.24156541367723056,0.00278175894838268,0.0010717137314567194,0.0026437028634539923,0.004026398600652137,0.00044405668554381997,0.00015798170543385905,0.01988719252276858,0.0004241310650386486,0.012768052967992338,0.0008688993798862247,0.014604056571683132
"Folk, World, & Country",0.0001266700160685897,0.00011670720581600398,0.0003465634709292313,0.001016206645763742,0.00278175894838268,0.02249602555033852,0.00026899587681981403,0.0001828887310653233,0.0020701296446265583,0.00036720072073815886,0.0003486983588404997,0.016243650487537235,0.0001010513611333693,0.0033695647532852365,0.00047109859908655265,0.005121596099132809
Funk / Soul,2.7753542846488748e-05,4.269775822536731e-06,1.8502361897659166e-05,5.1237309870440767e-05,0.0010717137314567194,0.00026899587681981403,0.0008283365095721258,0.0002526284028334232,0.0004931591075029924,3.771635309907446e-05,3.558146518780609e-06,0.001887240913561235,4.412101683287955e-05,0.0006155593477490454,0.00027611216985737525,0.0004796381507316261
Hip Hop,3.771635309907446e-05,0.0,1.5655844682634678e-05,3.985124101034282e-05,0.0026437028634539923,0.0001828887310653233,0.0002526284028334232,0.02643987515175495,0.0002625912130860089,1.0674439556341827e-05,2.1348879112683654e-06,0.0026209307257337965,0.00037075886725693944,0.0015812403129461027,8.753040436200299e-05,0.002612391174088723
Jazz,0.00023626092884703243,3.344657727653773e-05,0.000140190972839956,0.0011065835673407694,0.004026398600652137,0.0020701296446265583,0.0004931591075029924,0.0002625912130860089,0.018670306413345612,0.00018858176549537228,0.00010674439556341826,0.009789884331772967,3.771635309907446e-05,0.003769500421996177,0.001274528083027214,0.005029084289644513
Latin,7.116293037561218e-06,4.269775822536731e-06,2.7753542846488748e-05,4.6967534047904037e-05,0.00044405668554381997,0.00036720072073815886,3.771635309907446e-05,1.0674439556341827e-05,0.00018858176549537228,0.000338735548587914,1.5655844682634678e-05,0.0017840546645165973,6.404663733805096e-06,0.00013876771423244376,4.198612892161119e-05,0.0002526284028334232
Non-Music,2.8465172150244874e-06,8.539551645073462e-06,9.535832670332033e-05,0.00019854457574795798,0.00015798170543385905,0.0003486983588404997,3.558146518780609e-06,2.1348879112683654e-06,0.00010674439556341826,1.5655844682634678e-05,0.0016025891920587864,0.0005892290635100689,7.116293037561218e-07,0.00011670720581600398,7.899085271692953e-05,0.00030173082479259566
Pop,0.0004298240994686976,0.00019996783435547022,0.0028607498010996095,0.002728386750600971,0.01988719252276858,0.016243650487537235,0.001887240913561235,0.0026209307257337965,0.009789884331772967,0.0017840546645165973,0.0005892290635100689,0.18279764251444253,0.0002839400921986926,0.019462349828426175,0.005741425222704391,0.011591018099579712
Reggae,1.8502361897659166e-05,7.116293037561218e-07,0.0,4.269775822536731e-06,0.0004241310650386486,0.0001010513611333693,4.412101683287955e-05,0.00037075886725693944,3.771635309907446e-05,6.404663733805096e-06,7.116293037561218e-07,0.0002839400921986926,0.0009151552846303726,0.00048248466794665056,7.116293037561218e-06,0.00034015880719542624
Rock,0.0005870941755988005,4.269775822536731e-05,0.0001921399120141529,0.0009784902926646675,0.012768052967992338,0.0033695647532852365,0.0006155593477490454,0.0015812403129461027,0.003769500421996177,0.00013876771423244376,0.00011670720581600398,0.019462349828426175,0.00048248466794665056,0.07972240764119082,0.000824066733749589,0.011672855469511665
Stage & Screen,9.962810252585706e-06,3.202331866902548e-05,0.00016794451568644475,0.00038783797054708636,0.0008688993798862247,0.00047109859908655265,0.00027611216985737525,8.753040436200299e-05,0.001274528083027214,4.198612892161119e-05,7.899085271692953e-05,0.005741425222704391,7.116293037561218e-06,0.000824066733749589,0.003979431066604233,0.0004960056247180169
Unknown,0.00041630314269733125,7.045130107185605e-05,0.00037716353099074456,0.002634451682505163,0.014604056571683132,0.005121596099132809,0.0004796381507316261,0.002612391174088723,0.005029084289644513,0.0002526284028334232,0.00030173082479259566,0.011591018099579712,0.00034015880719542624,0.011672855469511665,0.0004960056247180169,0.02571116674470868
