musical_genre,Blues,Brass & Military,Children's,Classical,Electronic,"Folk, World, & Country",Funk / Soul,Hip Hop,Jazz,Latin,Non-Music,Pop,Reggae,Rock,Stage & Screen,Unknown
Blues,0.00038051017990979277,1.9971891331887825e-07,3.0585525011119644e-06,9.549417183975507e-06,8.989633601216038e-05,4.030327670774967e-05,6.767618034176846e-06,2.897350806790298e-05,7.472911110925818e-05,3.4979341104134968e-06,3.623471713071078e-07,0.00016849143465780467,4.074265831705116e-06,0.00027777191777122887,3.198355740435179e-06,0.00013840520692998278
Brass & Military,1.9971891331887825e-07,0.00029209747011085856,2.513605180484739e-06,1.9304259535936155e-05,4.813225810984966e-06,0.00010651865585495719,2.4280113604909344e-06,0.0,1.2085847383125266e-05,9.215601285999669e-07,2.998636827116301e-06,0.0001047468637810854,8.559381999380497e-08,1.235974760710544e-05,1.634841961881675e-05,2.7977766628641726e-05
Children's,3.0585525011119644e-06,2.513605180484739e-06,0.0026537907388705954,4.5675715476027476e-05,0.0002514803493964652,0.0002409237782638958,1.015142705126527e-05,2.402618527226106e-05,0.00010424471337045507,1.238827888043671e-05,3.9050753808506955e-05,0.0027278807494572387,0.0,0.00013260194593440257,0.00013796011906601487,0.00013412551593029227
Classical,9.549417183975507e-06,1.9304259535936155e-05,4.5675715476027476e-05,0.004897809623902921,0.0004636303385057765,0.00047649223652351325,1.7840605214042085e-05,2.064522938250577e-05,0.0003598934818006183,1.3272748353706028e-05,6.827248395439202e-05,0.0014175021341534184,7.674912526111181e-07,0.0003624926808010967,0.0001955590536671793,0.000796242216747037
Electronic,8.989633601216038e-05,4.813225810984966e-06,0.0002514803493964652,0.0004636303385057765,0.2241879724284005,0.0013296914342217695,0.0005791049610594181,0.0015308968268812004,0.002020453533463145,0.00021881774768682917,7.658364387579046e-05,0.012379223054280826,0.00019900277835826344,0.006772770782140479,0.0005614555153766953,0.005839569894021285
"Folk, World, & Country",4.030327670774967e-05,0.00010651865585495719,0.0002409237782638958,0.00047649223652351325,0.0013296914342217695,0.027616075676618973,0.00012639068773018559,7.979626525289127e-05,0.001129698620678909,0.0002473290491267655,0.00021250663002595263,0.014249850312099695,5.999270843365792e-05,0.0018078384845985056,0.00030162976853083547,0.0019066793748000158
Funk / Soul,6.767618034176846e-06,2.4280113604909344e-06,1.015142705126527e-05,1.7840605214042085e-05,0.0005791049610594181,0.00012639068773018559,0.0010502532900879874,0.0001860267552472025,0.00023551710196762022,2.830872939928443e-05,4.910232140311279e-06,0.001421142724630481,2.2867815575011565e-05,0.00029043409687564575,0.00017700516661985552,0.00017369839204076114
Hip Hop,2.897350806790298e-05,0.0,2.402618527226106e-05,2.064522938250577e-05,0.0015308968268812004,7.979626525289127e-05,0.0001860267552472025,0.032342121328814304,0.0001348245321269086,3.7661280797274185e-06,4.5935350063341996e-07,0.002060756810170849,0.00023418469150305032,0.0008506085580797653,3.509631932479318e-05,0.0013584937546496755
Jazz,7.472911110925818e-05,1.2085847383125266e-05,0.00010424471337045507,0.0003598934818006183,0.002020453533463145,0.001129698620678909,0.00023551710196762022,0.0001348245321269086,0.011403710287811428,0.0001302110252292423,3.8637050345203595e-05,0.006474045497234729,1.5566662729540005e-05,0.00168762196441721,0.000936844331723526,0.001387855288034932
Latin,3.4979341104134968e-06,9.215601285999669e-07,1.238827888043671e-05,1.3272748353706028e-05,0.00021881774768682917,0.0002473290491267655,2.830872939928443e-05,3.7661280797274185e-06,0.0001302110252292423,0.00039243625216226293,2.8103304231299293e-06,0.0013071688470540589,4.25115972635898e-06,6.583591321190168e-05,2.1321420560456822e-05,0.00014068200254181785
Non-Music,3.623471713071078e-07,2.998636827116301e-06,3.9050753808506955e-05,6.827248395439202e-05,7.658364387579046e-05,0.00021250663002595263,4.910232140311279e-06,4.5935350063341996e-07,3.8637050345203595e-05,2.8103304231299293e-06,0.0010711210634024772,0.0003202464243794882,1.7118763998760994e-06,4.149873706032978e-05,5.607251147794164e-05,9.412181759252111e-05
Pop,0.00016849143465780467,0.0001047468637810854,0.0027278807494572387,0.0014175021341534184,0.012379223054280826,0.014249850312099695,0.001421142724630481,0.002060756810170849,0.006474045497234729,0.0013071688470540589,0.0003202464243794882,0.39365941067498383,0.00015678790633731892,0.016135838807479635,0.006624339685761853,0.004500468845854746
Reggae,4.074265831705116e-06,8.559381999380497e-08,0.0,7.674912526111181e-07,0.00019900277835826344,5.999270843365792e-05,2.2867815575011565e-05,0.00023418469150305032,1.5566662729540005e-05,4.25115972635898e-06,1.7118763998760994e-06,0.00015678790633731892,0.0007744300582852817,0.00022387348932112987,3.646296731736092e-06,0.00012495556468162275
Rock,0.00027777191777122887,1.235974760710544e-05,0.00013260194593440257,0.0003624926808010967,0.006772770782140479,0.0018078384845985056,0.00029043409687564575,0.0008506085580797653,0.00168762196441721,6.583591321190168e-05,4.149873706032978e-05,0.016135838807479635,0.00022387348932112987,0.05740081343913841,0.0004781128128487285,0.003420300515679253
Stage & Screen,3.198355740435179e-06,1.634841961881675e-05,0.00013796011906601487,0.0001955590536671793,0.0005614555153766953,0.00030162976853083547,0.00017700516661985552,3.509631932479318e-05,0.000936844331723526,2.1321420560456822e-05,5.607251147794164e-05,0.006624339685761853,3.646296731736092e-06,0.0004781128128487285,0.005158927837430672,0.00023022169763733803
Unknown,0.00013840520692998278,2.7977766628641726e-05,0.00013412551593029227,0.000796242216747037,0.005839569894021285,0.0019066793748000158,0.00017369839204076114,0.0013584937546496755,0.001387855288034932,0.00014068200254181785,9.412181759252111e-05,0.004500468845854746,0.00012495556468162275,0.003420300515679253,0.00023022169763733803,0.011342653362882938
