musical_genre,Blues,Brass & Military,Children's,Classical,Electronic,"Folk, World, & Country",Funk / Soul,Hip Hop,Jazz,Latin,Non-Music,Pop,Reggae,Rock,Stage & Screen,Unknown
Blues,124.71323313494685,-1.125521659717101,-2.9411726471276545,-2.7728959175679275,-23.151766842812115,-3.3232189276414394,3.573841394718361,-8.150907420062559,11.708049530821784,-0.39691595089760073,-2.7283022519347484,-16.954320507159004,2.0924991602584977,14.382414912881252,-5.622205832292646,14.527952739205094
Brass & Military,-1.125521659717101,232.22571609380833,1.3780607387108046,10.547397878682222,-21.153831216772094,11.680669772982794,-0.321399060330085,-7.106677707202714,-1.69588901959791,0.6626248225416796,3.415223195733775,-3.5465534116751756,-1.2390364270696994,-8.53545777540468,6.40934826853747,1.227095212329669
Children's,-2.9411726471276545,1.3780607387108046,216.91856594794834,-1.03420387286797,-46.19222988792596,-2.1672786404437674,-3.8145841233022053,-17.549329122638145,-11.546168409340366,1.6997512370192618,17.441871158536213,27.599802172727024,-4.865296514919772,-25.210751778453304,5.720562756964962,-6.968192151881623
Classical,-2.7728959175679275,10.547397878682222,-1.03420387286797,336.5412307658891,-81.98792077566358,-2.108623048234382,-7.2123279980795845,-31.80410556496596,8.347112802881348,-2.6037916003337447,17.99772253027684,-51.567909135486175,-7.530204773114266,-34.693629585271545,6.7211195693931165,34.17702842362225
Electronic,-23.151766842812115,-21.153831216772094,-46.19222988792596,-81.98792077566358,483.14727935761744,-143.0115614844527,-22.14002782984238,-103.1228340246586,-117.48536857953937,-21.614169569120275,-37.43094773544165,-292.0929768032258,-19.245060231029747,-158.0815895513217,-68.60005135074715,-78.01882321500396
"Folk, World, & Country",-3.3232189276414394,11.680669772982794,-2.1672786404437674,-2.108623048234382,-143.0115614844527,262.18633325611324,-4.959745530408201,-51.478453933345506,-14.668455317554196,12.800107582213807,11.20943282401192,2.251911184446529,-6.146131705464399,-55.2639966300776,-14.71974821294561,10.144296507733072
Funk / Soul,3.573841394718361,-0.321399060330085,-3.8145841233022053,-7.2123279980795845,-22.14002782984238,-4.959745530408201,95.7586195817944,-1.225785653477446,12.549895251364068,3.288662233150783,-4.669861263280426,0.9627114334078865,5.68308069422869,-9.068398097645273,19.269851995529276,-2.2619233040301734
Hip Hop,-8.150907420062559,-7.106677707202714,-17.549329122638145,-31.80410556496596,-103.1228340246586,-51.478453933345506,-1.225785653477446,526.1898382000727,-43.98272123642829,-11.953710423273863,-14.586019345502418,-115.43122305800557,23.673221821567537,-61.28224663180534,-24.24654577765902,-11.400295396978409
Jazz,11.708049530821784,-1.69588901959791,-11.546168409340366,8.347112802881348,-117.48536857953937,-14.668455317554196,12.549895251364068,-43.98272123642829,281.00027177012805,-0.28843410355953936,-6.36705593418308,-47.94050252196203,-9.87575205366827,-33.96273157546077,24.05694219184126,22.30161081217816
Latin,-0.39691595089760073,0.6626248225416796,1.6997512370192618,-2.6037916003337447,-21.614169569120275,12.800107582213807,3.288662233150783,-11.953710423273863,-0.28843410355953936,67.59044654319342,0.5112453065474892,22.430538379113358,-1.1121736907297053,-17.19042012501361,-2.5013949024310485,-2.258061880047996
Non-Music,-2.7283022519347484,3.415223195733775,17.441871158536213,17.99772253027684,-37.43094773544165,11.20943282401192,-4.669861263280426,-14.586019345502418,-6.36705593418308,0.5112453065474892,338.34380662477014,-20.731819157191616,-3.8014751860774063,-20.27645035166302,4.219748357272129,0.32538484582400373
Pop,-16.954320507159004,-3.5465534116751756,27.599802172727024,-51.567909135486175,-292.0929768032258,2.251911184446529,0.9627114334078865,-115.43122305800557,-47.94050252196203,22.430538379113358,-20.731819157191616,370.59338771144434,-24.630933515800855,-117.34827749569483,26.579331028351376,-99.09590845034904
Reggae,2.0924991602584977,-1.2390364270696994,-4.865296514919772,-7.530204773114266,-19.245060231029747,-6.146131705464399,5.68308069422869,23.673221821567537,-9.87575205366827,-1.1121736907297053,-3.8014751860774063,-24.630933515800855,221.90459936139405,3.3991129366712105,-6.662126390874334,9.680014291418972
Rock,14.382414912881252,-8.53545777540468,-25.210751778453304,-34.693629585271545,-158.0815895513217,-55.2639966300776,-9.068398097645273,-61.28224663180534,-33.96273157546077,-17.19042012501361,-20.27645035166302,-117.34827749569483,3.3991129366712105,385.130421865868,-29.615193078079248,1.1585627155886273
Stage & Screen,-5.622205832292646,6.40934826853747,5.720562756964962,6.7211195693931165,-68.60005135074715,-14.71974821294561,19.269851995529276,-24.24654577765902,24.05694219184126,-2.5013949024310485,4.219748357272129,26.579331028351376,-6.662126390874334,-29.615193078079248,214.33758196456643,-24.757001254717494
Unknown,14.527952739205094,1.227095212329669,-6.968192151881623,34.17702842362225,-78.01882321500396,10.144296507733072,-2.2619233040301734,-11.400295396978409,22.30161081217816,-2.258061880047996,0.32538484582400373,-99.09590845034904,9.680014291418972,1.1585627155886273,-24.757001254717494,183.18809846823498
