genere_musicale,archi,r_gender,ci_lo,ci_hi,r_null,oe_MM,oe_FF,n_artisti,quota_donne
Electronic,169727,0.06315900874426378,0.05911021459282314,0.06704032963080905,-1.2702603190598321e-05,1.0271787963567145,1.6851541692979293,23907,0.08541431379930564
Pop,128436,0.015985657936609842,0.012038937119957056,0.020046845990666726,3.763682583829487e-05,1.0026430280297938,1.3167025080643142,10332,0.15021293070073558
Rock,56014,0.16735886257669066,0.1597344418138239,0.17520355353447015,-0.0003533909873256723,1.049563906093548,1.9892699981915707,20042,0.06700928051092706
Hip Hop,18577,0.1172645980026593,0.10267133228228759,0.13103483407570732,7.898034808039336e-05,1.0409813380873656,1.8739352640545157,1974,0.05268490374873354
"Folk, World, & Country",15806,0.07351596852729524,0.060761858837065176,0.08701867197352747,-0.00034327796211614545,1.022578966348644,1.5376044568245135,5338,0.10453353315848632
Jazz,13118,0.06818266693636546,0.05249072687712951,0.0849304808159673,-0.00012644592781393545,1.0103775925967255,1.6073989811563376,3607,0.1017466038258941
Classical,5796,0.047479576238753915,0.027339417937769523,0.06746895519079514,4.3836149780938166e-05,1.0191154508743259,1.2730981700144453,3825,0.20470588235294118
Stage & Screen,2796,0.029709730502069376,0.0003444456214282451,0.05870431347218077,0.00032079418045330297,1.0074268691517232,1.1576083810846796,682,0.1598240469208211
Children's,1309,0.022552794667712713,-0.012446448007299393,0.05846929043033285,0.0008057204403197258,1.0003768235568558,1.0285997123014337,723,0.3029045643153527
Non-Music,1126,0.08277660555388981,0.027763178296914076,0.13627970840974316,0.001150093055092256,1.0188986837338492,1.3067828251400109,488,0.16393442622950818
Reggae,643,0.13016458783071108,0.06413597111307832,0.2029723835697189,-0.0017104591407017592,1.080931263858093,0.0,388,0.05154639175257732
Funk / Soul,582,0.18429316608463894,0.11660742477730571,0.24768657156181065,-0.0020565959730126284,1.131203503912919,1.7908309455587448,1197,0.10192147034252297
