musical_genre,gender,n,coreness_mediana,eigenvector_mediana
Blues,F,53,5.0,8.87065853067835e-10
Blues,M,305,6.0,3.8140516034975453e-10
Brass & Military,F,2,7.5,7.955090077361329e-08
Brass & Military,M,46,8.5,4.4712559850974403e-07
Children's,F,154,8.0,8.320569812573214e-07
Children's,M,245,7.0,7.746124578179434e-07
Classical,F,436,4.0,3.9887401921120223e-10
Classical,M,1642,5.0,1.7373896954357723e-09
Electronic,F,1722,7.0,7.449379338306608e-09
Electronic,M,10938,8.0,8.366292677465459e-09
"Folk, World, & Country",F,413,7.0,5.3433103305040906e-08
"Folk, World, & Country",M,2760,7.0,5.318981783075254e-08
Funk / Soul,F,77,6.0,7.847973988823683e-08
Funk / Soul,M,473,7.0,1.343323831526322e-08
Hip Hop,F,72,10.0,8.243007233149828e-09
Hip Hop,M,966,15.0,2.078169988473623e-08
Jazz,F,245,7.0,1.4394032716456562e-08
Jazz,M,1919,9.0,3.604624826695963e-08
Latin,F,29,7.0,2.877212119679574e-07
Latin,M,150,7.5,1.3149008324757127e-07
Non-Music,F,62,5.5,3.010059130977693e-08
Non-Music,M,298,7.0,2.6271154509106963e-08
Pop,F,1150,11.0,3.820805791222393e-06
Pop,M,5608,13.0,3.1439625538561334e-06
Reggae,F,14,4.5,5.671174440392628e-11
Reggae,M,166,6.0,6.111028072657187e-10
Rock,F,774,5.0,1.411542629106266e-10
Rock,M,8587,6.0,2.1305889047485162e-10
Stage & Screen,F,88,9.0,2.3900774998402e-06
Stage & Screen,M,394,11.0,2.481337680592002e-06
