musical_genre,cohort_decade,n_artisti,n_noti,n_donne,quota_donne,ci_lo,ci_hi,rapporto_uomini_donne
Blues,1940,1,1.0,0.0,0.0,0.0,0.7934567085261071,
Blues,1950,7,1.0,0.0,0.0,0.0,0.7934567085261071,
Blues,1960,19,14.0,1.0,0.07142857142857142,0.012721886112291636,0.3146926955395781,13.0
Blues,1970,65,58.0,9.0,0.15517241379310345,0.08384397416750201,0.26934223058787304,5.444444444444445
Blues,1980,118,105.0,15.0,0.14285714285714285,0.08852402661833804,0.22240120785083545,6.0
Blues,1990,143,115.0,15.0,0.13043478260869565,0.0806631332262491,0.20409910491258446,6.666666666666667
Blues,2000,148,124.0,21.0,0.1693548387096774,0.11351887518815744,0.24506236910165113,4.904761904761905
Blues,2010,157,118.0,22.0,0.1864406779661017,0.12646899188610022,0.2661850770033431,4.363636363636363
Blues,2020,23,17.0,4.0,0.23529411764705882,0.0955488907167594,0.47262245889171595,3.25
Brass & Military,1940,24,13.0,0.0,0.0,0.0,0.22810184305529166,
Brass & Military,1950,10,6.0,0.0,0.0,0.0,0.3903430336530645,
Brass & Military,1960,39,18.0,2.0,0.1111111111111111,0.031018868453582787,0.3280024486660421,8.0
Brass & Military,1970,15,6.0,0.0,0.0,0.0,0.3903430336530645,
Brass & Military,1980,9,5.0,0.0,0.0,0.0,0.43449149475208104,
Brass & Military,1990,12,9.0,0.0,0.0,0.0,0.2991527535509594,
Brass & Military,2000,2,2.0,0.0,0.0,0.0,0.6576280471103807,
Brass & Military,2010,3,1.0,0.0,0.0,0.0,0.7934567085261071,
Children's,1940,33,23.0,10.0,0.43478260869565216,0.25634368332198654,0.6318895069498304,1.3
Children's,1950,83,72.0,24.0,0.3333333333333333,0.2353448606571184,0.4482061192800137,2.0
Children's,1960,219,173.0,66.0,0.3815028901734104,0.31243596740848334,0.45571813207942,1.621212121212121
Children's,1970,185,137.0,70.0,0.5109489051094891,0.42809223799497464,0.5932082868499576,0.9571428571428572
Children's,1980,96,54.0,24.0,0.4444444444444444,0.3200225687559781,0.5762458608863554,1.25
Children's,1990,60,45.0,16.0,0.35555555555555557,0.23218891356904048,0.5016445398804781,1.8125
Children's,2000,30,24.0,7.0,0.2916666666666667,0.14914460334164278,0.49168063658709704,2.4285714285714284
Children's,2010,16,9.0,2.0,0.2222222222222222,0.06322376231222723,0.5474166563271946,3.5
