termine,coef,se,z,p,ci_lo,ci_hi,esito
Intercept,-1.877425016559323,0.08358569108100304,-22.461081463571404,9.973108045172336e-112,-2.0412499607009797,-1.713600072417666,betweenness
C(gender)[T.F],-0.23624109070057,0.18646633147552105,-1.2669369790845233,0.2051778249155557,-0.6017083847218987,0.1292262033207587,betweenness
C(genere)[T.Blues],0.20651371053710593,0.09698329176762417,2.129374109428261,0.03322332076075243,0.016429951570422652,0.3965974695037892,betweenness
C(genere)[T.Children's],-0.07185338025467032,0.10079505931412629,-0.7128660942669852,0.47592862173624184,-0.26940806632993636,0.12570130582059574,betweenness
C(genere)[T.Classical],0.14718400583638505,0.07553598525341654,1.9485283119376249,0.05135178055032873,-0.0008638047970599971,0.2952318164698301,betweenness
C(genere)[T.Electronic],-0.1767598477824994,0.06879023824041211,-2.5695484170987872,0.010183116085908512,-0.31158623722163714,-0.04193345834336168,betweenness
"C(genere)[T.Folk, World, & Country]",0.1487277298541472,0.0716063270569986,2.077019391537287,0.03779976949785499,0.008381907757233936,0.28907355195106044,betweenness
C(genere)[T.Funk / Soul],-0.001459279500473136,0.08584463840077332,-0.01699907562846686,0.9864373532077182,-0.16971167903185294,0.16679312003090666,betweenness
C(genere)[T.Hip Hop],-0.0214133055537179,0.07900630048595075,-0.2710328849978959,0.7863657399527053,-0.17626280905793074,0.13343619795049494,betweenness
C(genere)[T.Jazz],0.11516498549758708,0.07263914335178168,1.5854397530524063,0.11286645511836649,-0.02720511933974712,0.2575350903349213,betweenness
C(genere)[T.Non-Music],0.28947505772196713,0.09514806947498675,3.0423639630236172,0.0023472788839898518,0.10298826835247823,0.47596184709145606,betweenness
C(genere)[T.Pop],-0.18702296177772404,0.06975439038872404,-2.681164020436436,0.007336654597289083,-0.32373905470317005,-0.05030686885227803,betweenness
C(genere)[T.Rock],0.30999363991518797,0.06928009447814763,4.474497938408071,7.659106556365755e-06,0.17420714989248634,0.4457801299378896,betweenness
C(genere)[T.Stage & Screen],-0.13968275748958017,0.09263780532994256,-1.507837507506578,0.13159611997851275,-0.3212495195431002,0.0418840045639399,betweenness
C(coorte)[T.1950],-0.03799190366823049,0.05785451971639591,-0.6566799595687185,0.5113867230026978,-0.15138467865522892,0.07540087131876795,betweenness
C(coorte)[T.1960],0.09402021409014245,0.05181385365075401,1.8145767486023352,0.06958897837705616,-0.007533072965564602,0.1955735011458495,betweenness
C(coorte)[T.1970],0.14385201313819362,0.051403170593965083,2.7985046734662387,0.005133982647891137,0.043103650082853676,0.2446003761935336,betweenness
C(coorte)[T.1980],0.5847789276831127,0.05071666160190581,11.530311917477196,9.280685483762958e-31,0.4853760975272718,0.6841817578389535,betweenness
C(coorte)[T.1990],0.564151437929114,0.050494834761748354,11.172458343332949,5.561985296962631e-29,0.4651833803907861,0.663119495467442,betweenness
C(coorte)[T.2000],0.6451921100171545,0.051319722596173435,12.57201086401161,3.0097006454614745e-36,0.5446073020320682,0.7457769180022408,betweenness
C(coorte)[T.2010],0.6649626329986225,0.05293848964750109,12.56104277674668,3.457457407956086e-36,0.5612050998935738,0.7687201661036711,betweenness
C(coorte)[T.2020],0.5256515321690135,0.0653037574790731,8.049330581589597,8.324810787548906e-16,0.39765851945489206,0.653644544883135,betweenness
C(gender)[T.F]:C(genere)[T.Blues],-0.14773984064927312,0.25842371463726377,-0.5716961419606866,0.5675278486164139,-0.6542410140893665,0.35876133279082023,betweenness
C(gender)[T.F]:C(genere)[T.Children's],0.1021536153813328,0.21848736675314465,0.46754929998652894,0.6401069287880514,-0.32607375453182474,0.5303809852944903,betweenness
C(gender)[T.F]:C(genere)[T.Classical],-0.1518180681880241,0.19895979640568426,-0.7630590246406518,0.4454281954892245,-0.5417721035145869,0.23813596713853877,betweenness
C(gender)[T.F]:C(genere)[T.Electronic],-0.14369111711974586,0.18917810551338315,-0.759554689110578,0.4475208121880293,-0.5144733905894951,0.22709115635000338,betweenness
"C(gender)[T.F]:C(genere)[T.Folk, World, & Country]",-0.019010462537185056,0.1966831768859285,-0.09665525459867198,0.9230001750420959,-0.4045024055985258,0.36648148052415563,betweenness
C(gender)[T.F]:C(genere)[T.Funk / Soul],0.30596398437623623,0.24991733106823275,1.2242607708254598,0.22085387060087558,-0.18386498362987308,0.7957929523823455,betweenness
C(gender)[T.F]:C(genere)[T.Hip Hop],-0.18426289747375219,0.25944474519578015,-0.7102201948037343,0.4775675995271804,-0.6927652540356526,0.32423945908814816,betweenness
C(gender)[T.F]:C(genere)[T.Jazz],-0.12138497363133846,0.2014143935497047,-0.6026628558766992,0.5467329963537515,-0.5161499309567362,0.27337998369405936,betweenness
C(gender)[T.F]:C(genere)[T.Non-Music],-0.017119390882907322,0.2301767711514662,-0.07437497188472605,0.9407120231772463,-0.46825757241749916,0.4340187906516845,betweenness
C(gender)[T.F]:C(genere)[T.Pop],-0.23558130411248746,0.190417047566414,-1.2371859931833098,0.21601804034335814,-0.6087918593851093,0.13762925116013436,betweenness
C(gender)[T.F]:C(genere)[T.Rock],-0.15500332875283185,0.19284437467623325,-0.8037741780804714,0.4215274051999398,-0.5329713577393971,0.22296470023373338,betweenness
C(gender)[T.F]:C(genere)[T.Stage & Screen],0.061982943310570526,0.23034428170215474,0.2690882658451109,0.7878617600203223,-0.3894835528704013,0.5134494394915423,betweenness
log_nrel,1.2227405276328789,0.005079248230976971,240.7325793167014,0.0,1.2127853840316252,1.2326956712341326,betweenness
