termine,coef,se,z,p,ci_lo,ci_hi,esito
Intercept,1.1579939519002358,0.03287631284379212,35.2227440285748,8.97110684614341e-272,1.0935575627819316,1.22243034101854,coreness
C(gender)[T.F],0.03621986621802463,0.07921715572191321,0.45722250297867506,0.6475111254876654,-0.11904290595462631,0.19148263839067559,coreness
C(genere)[T.Blues],0.005097823208291448,0.03598913610033097,0.1416489463397974,0.8873573031044866,-0.06543958738306754,0.07563523379965045,coreness
C(genere)[T.Children's],-0.013534512662952693,0.03963727119586739,-0.3414592441561368,0.7327578815773457,-0.09122213665229965,0.06415311132639427,coreness
C(genere)[T.Classical],-0.28665065344157675,0.02777868937310514,-10.319084878032694,5.777114323835244e-25,-0.34109588415058834,-0.23220542273256514,coreness
C(genere)[T.Electronic],0.047441810994765375,0.025575861589796814,1.8549447817504503,0.06360411219737623,-0.002685956594817712,0.09756957858434846,coreness
"C(genere)[T.Folk, World, & Country]",0.05162384780821634,0.026774793511750484,1.9280764120761757,0.05384562245150284,-0.0008537831683113201,0.104101478784744,coreness
C(genere)[T.Funk / Soul],0.048014872286436305,0.03334356112218381,1.4400043267871445,0.1498661749381496,-0.017337306629353913,0.11336705120222652,coreness
C(genere)[T.Hip Hop],0.3801095813855049,0.029128895943267542,13.049227204691164,6.419525855600778e-39,0.3230179944272856,0.43720116834372413,coreness
C(genere)[T.Jazz],0.11726046317417156,0.02727075158126844,4.299861807061991,1.709046469113197e-05,0.0638107722435467,0.17071015410479642,coreness
C(genere)[T.Non-Music],-0.18044821496446314,0.036577953564811784,-4.933250698258184,8.087224553869535e-07,-0.25213968657967273,-0.10875674334925356,coreness
C(genere)[T.Pop],0.17940252847263014,0.02599983654314783,6.900140628765263,5.19510848091724e-12,0.12844378524413202,0.23036127170112825,coreness
C(genere)[T.Rock],-0.03190031089159205,0.02554726583549269,-1.2486780815218632,0.2117828407816139,-0.0819720318326283,0.01817141004944419,coreness
C(genere)[T.Stage & Screen],0.18650475058614896,0.034543571202913875,5.399116075480251,6.697003535885809e-08,0.11880059513104281,0.2542089060412551,coreness
C(coorte)[T.1950],0.05634408639259002,0.024884166728349845,2.2642544959481707,0.023558466553155227,0.007572015819734414,0.10511615696544563,coreness
C(coorte)[T.1960],-0.014445883733497991,0.021937112111220396,-0.6585134661416627,0.5102082469265696,-0.057441833396307394,0.028550065929311412,coreness
C(coorte)[T.1970],-0.182949066332909,0.021637341696016776,-8.455246901544664,2.7849742116919976e-17,-0.22535747677828868,-0.14054065588752931,coreness
C(coorte)[T.1980],-0.1983666119110832,0.021299775624523024,-9.313084579290038,1.2417271003501691e-20,-0.24011340501393247,-0.15661981880823395,coreness
C(coorte)[T.1990],-0.21706231631376216,0.021254470170954103,-10.212548916434285,1.7422676396198778e-24,-0.2587203123593131,-0.17540432026821123,coreness
C(coorte)[T.2000],-0.26095505108942024,0.0215061146952704,-12.13399327526181,6.976269029050291e-34,-0.30310626133953783,-0.21880384083930265,coreness
C(coorte)[T.2010],-0.36563649073488647,0.02215639985182582,-16.502522665240484,3.518800080319401e-61,-0.40906223647153367,-0.32221074499823926,coreness
C(coorte)[T.2020],-0.36162907728358173,0.027279436813703543,-13.256471522972245,4.1391739861076074e-40,-0.4150957909569768,-0.3081623636101867,coreness
C(gender)[T.F]:C(genere)[T.Blues],-0.017733604228341686,0.10341563079868676,-0.1714789543068462,0.8638471773665002,-0.22042451603225893,0.18495730757557555,coreness
C(gender)[T.F]:C(genere)[T.Children's],-0.003672581631109624,0.09266944971232158,-0.039630985643171544,0.9683873238664532,-0.18530136553440557,0.17795620227218634,coreness
C(gender)[T.F]:C(genere)[T.Classical],-0.06921908055195143,0.08396667868293702,-0.8243636837575372,0.40973294330722076,-0.2337907466719551,0.09535258556805222,coreness
C(gender)[T.F]:C(genere)[T.Electronic],-0.009182600216741818,0.08007932224410576,-0.11466880537213467,0.9087076404969299,-0.16613518772156632,0.14776998728808266,coreness
"C(gender)[T.F]:C(genere)[T.Folk, World, & Country]",-0.06329740625762811,0.08340365029814444,-0.7589284885176825,0.44789533604372467,-0.22676555702116455,0.10017074450590832,coreness
C(gender)[T.F]:C(genere)[T.Funk / Soul],-0.06598903123254568,0.10536471141104548,-0.626291576646676,0.5311237102969599,-0.2725000708396513,0.14052200837455991,coreness
C(gender)[T.F]:C(genere)[T.Hip Hop],-0.1707564086468706,0.09948397695617164,-1.7164212154696885,0.08608497630231654,-0.3657414205197797,0.02422860322603848,coreness
C(gender)[T.F]:C(genere)[T.Jazz],-0.04526307126375332,0.08540091013615973,-0.5300068956125611,0.5961071498259017,-0.21264577937756804,0.12211963685006141,coreness
C(gender)[T.F]:C(genere)[T.Non-Music],-0.05585293707355796,0.09762850693517938,-0.572096601975503,0.5672565310854123,-0.24720129453092843,0.13549542038381251,coreness
C(gender)[T.F]:C(genere)[T.Pop],-0.05754705743048403,0.08065044208183898,-0.713536788454165,0.4755136569075752,-0.21561901924812202,0.10052490438715397,coreness
C(gender)[T.F]:C(genere)[T.Rock],-0.013571219810553273,0.08095707398446172,-0.16763476176471037,0.8668706222286113,-0.17224416911384283,0.14510172949273625,coreness
C(gender)[T.F]:C(genere)[T.Stage & Screen],-0.11850077262789484,0.09880214301491581,-1.199374517716738,0.23038235148972475,-0.3121494145325055,0.07514786927671584,coreness
log_nrel,0.44218174935425264,0.0018757848728046022,235.73158935497722,0.0,0.43850527856081056,0.4458582201476947,coreness
