termine,coef,se,z,p,ci_lo,ci_hi,esito
Intercept,0.8389554502002462,0.09655235230243435,8.689124917147087,3.6524188010942824e-18,0.6497163170648519,1.0281945833356405,eigenvector
C(gender)[T.F],0.1800859146901267,0.17544230172749797,1.0264680348861435,0.3046710232742461,-0.16377467806057866,0.523946507440832,eigenvector
C(genere)[T.Blues],-0.011444050639845698,0.07640604877255577,-0.14977938034607904,0.8809386779251381,-0.1611971544350658,0.13830905315537442,eigenvector
C(genere)[T.Children's],-0.17811288965009428,0.12033240323661455,-1.4801739586291116,0.1388268281974742,-0.41396006616700987,0.05773428686682128,eigenvector
C(genere)[T.Classical],-0.66353302689518,0.06827588347152808,-9.718409973733724,2.5168074170880494e-22,-0.7973512995120287,-0.5297147542783314,eigenvector
C(genere)[T.Electronic],-0.18629702305537163,0.06268136723603736,-2.972127623729688,0.0029574372106084307,-0.3091502453397338,-0.06344380077100946,eigenvector
"C(genere)[T.Folk, World, & Country]",-0.24801119918957595,0.06625003719158074,-3.74356316921576,0.0001814289632710458,-0.37785888605951334,-0.11816351231963859,eigenvector
C(genere)[T.Funk / Soul],0.06810530981907653,0.07599759182927042,0.8961508934661508,0.3701721786672131,-0.08084723307806899,0.21705785271622205,eigenvector
C(genere)[T.Hip Hop],-0.33507386127143507,0.06797564995861745,-4.929321918590304,8.2515511401533e-07,-0.46830368701602687,-0.20184403552684327,eigenvector
C(genere)[T.Jazz],-0.19799316263877398,0.06736533052611865,-2.939095838949514,0.0032917127035692172,-0.33002678427660326,-0.06595954100094473,eigenvector
C(genere)[T.Non-Music],-1.4206564780868727,0.09686552057872193,-14.666276189909237,1.0600515890297487e-48,-1.610509409764891,-1.2308035464088543,eigenvector
C(genere)[T.Pop],1.0434272630362285,0.06621179307350405,15.758933788092447,5.963052037196483e-56,0.9136545332603419,1.173199992812115,eigenvector
C(genere)[T.Rock],0.00769219119363555,0.0629164211238596,0.122260469623541,0.9026927377502469,-0.11562172824528434,0.13100611063255543,eigenvector
C(genere)[T.Stage & Screen],0.32580524792323373,0.09138775687716182,3.5650863863653255,0.00036373636412959565,0.14668853581609392,0.5049219600303736,eigenvector
C(coorte)[T.1950],0.23806085162505736,0.09057219614497937,2.6284098405209493,0.008578509230507677,0.06054260918020027,0.41557909406991445,eigenvector
C(coorte)[T.1960],-0.1392557808594243,0.0793049080242701,-1.7559541310710194,0.07909624096094711,-0.29469054438425524,0.0161789826654066,eigenvector
C(coorte)[T.1970],-1.2591235040167452,0.07569981788452021,-16.63311140242812,4.012077284958563e-62,-1.407492420706646,-1.1107545873268445,eigenvector
C(coorte)[T.1980],-1.8310640652091839,0.07393703850588505,-24.765179972192684,2.1277480104949204e-135,-1.9759779978042697,-1.686150132614098,eigenvector
C(coorte)[T.1990],-2.070705974235015,0.0734686158948877,-28.184905200849233,8.954156883890434e-175,-2.214701815383002,-1.9267101330870282,eigenvector
C(coorte)[T.2000],-2.1104197264809454,0.07354209206407489,-28.696759464528203,4.1875411853657135e-181,-2.2545595782742613,-1.9662798746876298,eigenvector
C(coorte)[T.2010],-2.032679023594043,0.07365211239111195,-27.598380516229955,1.1636363683075829e-167,-2.177034511265919,-1.8883235359221673,eigenvector
C(coorte)[T.2020],-1.7952804230918933,0.07631633729901582,-23.524195298547763,2.306841637370719e-122,-1.944857695629975,-1.6457031505538116,eigenvector
C(gender)[T.F]:C(genere)[T.Blues],0.05283769456401004,0.21282819943228923,0.24826453780538713,0.803929734944062,-0.3642979112177848,0.4699733003458049,eigenvector
C(gender)[T.F]:C(genere)[T.Children's],-0.14510719040938877,0.23915050768450363,-0.6067609549080266,0.5440095634690381,-0.6138335723554853,0.3236191915367078,eigenvector
C(gender)[T.F]:C(genere)[T.Classical],0.034693205414624353,0.18501808632399722,0.1875125081224266,0.851258817559414,-0.32793558026893294,0.3973219910981816,eigenvector
C(gender)[T.F]:C(genere)[T.Electronic],-0.01919284038176552,0.1768126127989535,-0.1085490456701125,0.913560177499838,-0.36573919348014017,0.3273535127166092,eigenvector
"C(gender)[T.F]:C(genere)[T.Folk, World, & Country]",-0.13645018445409893,0.18632811565578986,-0.732311299203862,0.4639785842752707,-0.5016465804466609,0.228746211538463,eigenvector
C(gender)[T.F]:C(genere)[T.Funk / Soul],0.2857933497898296,0.229536827018003,1.2450871326517654,0.21309972341778505,-0.16409056429105667,0.7356772638707159,eigenvector
C(gender)[T.F]:C(genere)[T.Hip Hop],-0.12838251892042107,0.19695045877824008,-0.6518518398831236,0.5144967557346893,-0.5143983248644122,0.25763328702357,eigenvector
C(gender)[T.F]:C(genere)[T.Jazz],0.0543928794570004,0.18906199241674448,0.28769864720934274,0.7735774256335234,-0.31616181652520364,0.4249475754392044,eigenvector
C(gender)[T.F]:C(genere)[T.Non-Music],-0.22436690503222306,0.226362024237019,-0.9911861576096046,0.321594688486765,-0.6680283200043631,0.219294509939917,eigenvector
C(gender)[T.F]:C(genere)[T.Pop],-0.1762115454581985,0.18295988592111787,-0.9631157374801333,0.335489444919462,-0.5348063324791463,0.18238324156274938,eigenvector
C(gender)[T.F]:C(genere)[T.Rock],-0.09005223660881671,0.1773950652654352,-0.5076366497234411,0.6117081832993405,-0.437740175564202,0.2576357023465686,eigenvector
C(gender)[T.F]:C(genere)[T.Stage & Screen],0.27504799167240107,0.24407400282669006,1.1269040884608459,0.2597830345821981,-0.2033282634304388,0.753424246775241,eigenvector
log_nrel,0.5746272299908453,0.006990879680387218,82.19669859330453,0.0,0.5609253575970334,0.5883291023846571,eigenvector
