insieme,esp,oltre_il_massimo,osservati,randomizzati,rapporto
1940s,0,False,90,65.15,1.3814274750575593
1940s,1,False,133,141.48,0.9400621996041844
1940s,2,False,234,255.5,0.9158512720156555
1940s,3,False,323,380.77,0.8482811145836069
1940s,4,False,318,403.48,0.7881431545553682
1940s,5,False,298,357.88,0.8326813457024701
1940s,6,False,257,314.45,0.8173000477023374
1940s,7,False,181,256.98,0.7043349677017666
1940s,8,False,155,222.45,0.6967857945605754
1940s,9,False,165,190.65,0.8654602675059009
1940s,10,False,129,167.42,0.7705172619758691
1940s,11,False,108,148.16,0.7289416846652268
1940s,12,False,92,133.95,0.6868234415826802
1940s,13,False,83,119.9,0.6922435362802335
1940s,14,False,67,107.55,0.6229660622966062
1940s,15,False,56,95.45,0.5866946045049765
1940s,16,False,52,87.99,0.5909762473008296
1940s,17,False,26,80.66,0.3223406893131664
1940s,18,False,27,72.48,0.3725165562913907
1940s,19,False,38,67.99,0.558905721429622
1940s,20,False,22,61.25,0.35918367346938773
1940s,21,False,28,57.05,0.49079754601226994
1940s,22,False,15,53.82,0.2787068004459309
1940s,23,False,21,49.46,0.4245855236554792
1940s,24,False,20,45.48,0.43975373790677225
1940s,25,False,12,41.88,0.28653295128939826
1940s,26,True,66,486.07,0.13578291192626576
1950s,0,False,298,167.23,1.7819769180171023
1950s,1,False,582,374.84,1.5526624693202433
1950s,2,False,885,692.23,1.2784768068416565
1950s,3,False,1043,1074.57,0.9706208064621198
1950s,4,False,1229,1367.84,0.8984969002222483
1950s,5,False,1318,1602.53,0.8224495017253968
1950s,6,False,1529,1782.57,0.8577503267753861
1950s,7,False,986,1392.49,0.7080840795984172
1950s,8,False,859,1271.67,0.6754897103808377
1950s,9,False,712,1172.09,0.607461884326289
1950s,10,False,652,1070.12,0.6092774642096214
1950s,11,False,589,986.44,0.5970966303069624
1950s,12,False,535,912.8,0.5861086765994742
1950s,13,False,537,849.78,0.631928263785921
1950s,14,False,505,799.25,0.6318423522051924
1950s,15,False,453,751.87,0.6024977722212617
1950s,16,False,414,714.38,0.5795235028976176
1950s,17,False,391,675.97,0.5784280367471929
1950s,18,False,407,641.03,0.6349156825733585
1950s,19,False,369,615.22,0.5997854426058971
1950s,20,False,367,587.09,0.62511710299954
1950s,21,False,383,562.86,0.6804533987137121
1950s,22,False,319,538.53,0.5923532579429187
1950s,23,False,302,517.4,0.5836876691148049
1950s,24,False,299,498.52,0.5997753349915751
1950s,25,False,278,480.37,0.5787205695609634
1950s,26,True,5749,21589.99,0.26628080883779937
rete intera,0,False,16465,26474.4,0.6219215544072765
rete intera,1,False,33761,58432.1,0.5777817329858075
rete intera,2,False,52189,94743.35,0.5508460488255904
rete intera,3,False,69586,128387.75,0.5419987498807324
rete intera,4,False,86142,154728.25,0.5567309137148517
rete intera,5,False,100150,172372.9,0.5810078034308177
rete intera,6,False,115115,183242.9,0.6282098788002155
rete intera,7,False,58362,119136.2,0.48987629284801765
rete intera,8,False,41803,90243.25,0.463225781429636
rete intera,9,False,32847,72753.85,0.4514812618163849
rete intera,10,False,26641,60943.6,0.43714188200237597
rete intera,11,False,21969,52188.25,0.420956824572581
rete intera,12,False,18520,45581.75,0.4063029611631848
rete intera,13,False,15822,40360.7,0.39201500469516143
rete intera,14,False,13684,36251.45,0.37747455619016623
rete intera,15,False,12238,32789.75,0.373226389344231
rete intera,16,False,10778,29808.75,0.36157168616597474
rete intera,17,False,9469,27326.1,0.34651852990364523
rete intera,18,False,8624,25223.2,0.34190745028386565
rete intera,19,False,7909,23393.7,0.3380824751963135
rete intera,20,False,7263,21806.75,0.333062010615979
rete intera,21,False,6634,20333.5,0.32625962082278015
rete intera,22,False,6199,19060.6,0.32522585857737957
rete intera,23,False,5710,17925.05,0.3185486232953325
rete intera,24,False,5253,16815.15,0.31239685640627646
rete intera,25,False,4891,15992.15,0.3058375515487286
rete intera,26,True,110451,603519.05,0.18301162158841547
