decennio,nodi,archi,diadi,quota_donne,rapporto_F,z_F,rapporto_M,z_M,coef_intercetta,se_intercetta,coef_same_F,se_same_F,coef_same_M,se_same_M,coef_same_genre,se_same_genre,coef_same_cohort,se_same_cohort,coef_sum_lognrel,se_sum_lognrel
1930,152,473,11476,0.10526315789473684,0.20218463706835801,-1.221995650256284,1.1285338565776322,2.043195756459445,-3.14682785337798,,0.0,0.47198133665852265,0.0,0.11999577533821387,0.0,0.09941693279643438,0.0,,0.0,-0.0
1940,337,1682,56616,0.12759643916913946,0.48458369051240224,-1.419169879157551,1.0808126426539415,1.6907085034274245,,,,,,,,,,,,
1950,1437,14030,1031766,0.13430758524704245,0.46041873631263874,-2.3112584158088887,1.1123081452921846,3.178792919705685,-9.999524580541012,0.049436648524869044,0.0822767861890092,0.09793537654751719,0.031879979868386435,0.02428203970489596,1.1242663944668396,0.019655035005516047,0.070558371453977,0.017899836779070123,0.5243306918532875,0.004119041209020478
1960,4547,41633,10335331,0.16494391906751704,0.47992505970458305,-3.7434010661177237,1.1367470035231386,5.058375748231215,-11.12419881079579,0.024781795785763696,0.05323697670173119,0.04492665768452994,0.039446719302694964,0.012779534595834334,1.2318543375828255,0.011002832299192007,0.13441608120575818,0.010267962268854765,0.5701739627572708,0.0021586982942147356
1970,6774,43648,22940151,0.14068497195157956,0.5735050800426711,-3.8832473412855144,1.110894671889266,6.388752339965777,-11.181108267993471,0.022705057196522556,0.08637527364949599,0.046680990045042774,0.17364299251329696,0.012953026522219089,1.1255572637550098,0.010238441449044539,0.44591917758297595,0.009958323638261641,0.5029662462405726,0.0020216431018264714
1980,10810,50599,58422645,0.11850138760407031,0.8844429435017206,-1.0974830151503612,1.0512514848506096,3.8087824653813223,-11.09427559369415,0.01946605718628507,0.19361726640832586,0.041435431507891016,0.11515158844233274,0.0118820542490893,1.330229486976725,0.009216661681276828,0.5737622164206975,0.009333463180523876,0.4364804340120972,0.001755111867578517
1990,16205,77829,131292910,0.11545819191607529,1.182237948648174,1.9945165567697831,1.0355203150947665,3.119340781233733,-12.117534330277666,0.01619945689812737,0.3675894026210017,0.02992110828943411,0.11984395548704345,0.009507042926210036,1.9330209702009444,0.00778776073728103,0.6353363344801671,0.007502766144913526,0.4809101077417798,0.0014449441502948827
2000,19872,85820,197438256,0.10668276972624799,1.21168775387309,2.8510257410009396,1.03631007959165,4.430512524461249,-11.985110335341608,0.014994524258824575,0.4129653777834738,0.030372291690104854,0.14092454838079024,0.009360834610012279,1.8528789555602214,0.007178445820981226,0.7005459307224277,0.007175515618797829,0.45091058752793806,0.0013832632516158263
2010,22689,77818,257384016,0.10895147428269206,1.0753740208730334,1.1765127774199045,1.0498566082838245,7.1428231373757445,-11.454727087252127,0.014501264698249352,0.3979046130787412,0.03305709043466808,0.16081001144427567,0.00996534297562699,1.6395450895760586,0.0072496674463860215,0.7166178534234897,0.007723640318599348,0.38282908566195184,0.001418265945731696
2020,13011,32746,84636555,0.11436476827299977,1.3620227790692192,4.6573966946267955,1.0194259601368045,2.3095071614997367,-10.2186167253248,0.021098172244626873,0.5083014886143583,0.043432096990289604,-0.006299827914506806,0.014370430466365125,1.5923661447492004,0.011092042263939592,0.5883822428584884,0.012421168456784443,0.2619545043011514,0.0022295991340541372
