insieme,decennio,categoria,nodi,archi,n_categoria,strati,grado_medio_relativo,osservati,attesi_uniforme,rapporto_uniforme,attesi_grado,sd_grado,rapporto_grado,z_grado,rapporto_configurazione
1930s,1930.0,F,163,524,15,4,0.48734096692111956,1,4.167234719381959,0.23996728462377315,1.436,1.2412390330506788,0.6963788300835655,-0.3512619152238652,0.9488456315074697
1930s,1930.0,M,163,524,144,4,1.0368956743002544,437,408.62713019768233,1.0694346207227887,435.908,14.604149293549902,1.002505115758371,0.07477327012003906,0.9938715277777779
1940s,1940.0,F,364,1955,44,9,0.7299465240641712,14,27.993672993672995,0.5001130077915898,18.9765,4.594943362246277,0.7377545912049113,-1.083038376683537,0.9198067632850241
1940s,1940.0,M,364,1955,315,9,1.0092639954532538,1488,1463.4535918626827,1.0167729323798198,1463.423,26.55216713923545,1.0167941873265625,0.9256118293893684,0.9977650062488076
1950s,1950.0,F,1515,15298,196,27,0.653311690737218,122,254.90997554180782,0.4786003362194461,108.4735,10.78143856165444,1.1246986591195085,1.2546099412103242,1.1163424448021322
1950s,1950.0,M,1515,15298,1310,27,1.0426767107210542,12452,11436.867529025028,1.0887596597930964,12411.643,55.88122141160863,1.003251543731962,0.7221925179970441,1.0013543374378708
1960s,1960.0,F,4812,45566,746,49,0.6758157362757777,546,1093.8934716489453,0.499134526488173,508.425,22.260708537067867,1.0739047057088067,1.6879516632379972,1.0916130506519306
1960s,1960.0,M,4812,45566,4023,49,1.051076127480087,35242,31847.256745374147,1.106594526548003,35252.586,165.47051353466185,0.9996997099730498,-0.06397514441620121,1.0016188026089412
1970s,1970.0,F,7263,47783,950,49,0.7004784568834765,495,816.7533828457832,0.6060580958664536,420.0835,20.468976947044258,1.1783371639209823,3.6600021678571486,1.2340339201718966
1970s,1970.0,M,7263,47783,6206,49,1.0464611171965665,38351,34886.28153724527,1.099314639167139,38106.472,86.51863934133925,1.0064169677003947,2.826304272253634,1.003842626370348
1980s,1980.0,F,11688,55010,1290,45,0.8283053821081157,603,669.6394416899803,0.9004845928402884,467.919,22.853940366929017,1.2886845800234656,5.9106218810070095,1.311582718819038
1980s,1980.0,M,11688,55010,10220,45,1.0239641680519926,44340,42058.87897373583,1.054236372483647,44050.9675,116.09581199393571,1.0065613201344557,2.489603156529874,1.0054561598276943
1990s,1990.0,F,18522,95251,1933,60,0.8855583529373312,1282,1036.9461616225058,1.2363226244977459,821.4175,34.603148450557875,1.5607166879205763,13.310421757086512,1.5757821090212385
1990s,1990.0,M,18522,95251,16248,60,1.005298713062046,74857,73297.69593747907,1.0212735754184001,74023.315,390.78455965023807,1.0112624650760371,2.133362179780508,1.0105284851389058
2000s,2000.0,F,22460,101890,2156,59,0.8493756044160541,1149,938.4851957601022,1.2243133990722108,671.96,24.669813534964643,1.7099232097148638,19.33699252829329,1.6963321415255783
2000s,2000.0,M,22460,101890,19921,59,1.0180111183999647,83844,80155.23001863057,1.0460203280623366,83251.587,75.31338847935419,1.0071159364205273,7.86597193356132,1.0093286883254953
2010s,2010.0,F,25116,87931,2522,48,0.8297742126060182,1035,886.2908858175787,1.167788156870463,620.265,23.164392276396274,1.6686416289811614,17.903987941984596,1.695466659932635
2010s,2010.0,M,25116,87931,22170,48,1.0227582985053372,72330,68512.5531261881,1.0557189405389817,71682.0105,27.339607107791515,1.0090397785369036,23.70149276268588,1.0092528662054416
2020s,2020.0,F,14179,35971,1534,31,0.9966244265942609,700,420.7842263852323,1.66356045713354,411.0295,19.24696996091432,1.7030407793114606,15.013817789856029,1.6738747566126027
2020s,2020.0,M,14179,35971,12439,31,1.004966992809987,28302,27683.94369102238,1.0223254430754405,28016.9115,59.991867614201844,1.0101755862704567,4.7521191010981765,1.0122348572539022
rete intera,,F,56915,521438,6931,139,0.7444205611988213,6329,7731.895239854928,0.8185573916439599,4408.225,71.53726270241933,1.4357252635698041,26.849992960871855,1.4769213920582382
rete intera,,M,56915,521438,49111,139,1.036529051195665,420181,388244.70295812073,1.0822581655294965,416688.574,503.8075968250365,1.0083813817270642,6.932062997876619,1.0073182473398097
