variante,nodi,archi,densita,quota_gigante,r_gender,r_gender_MF,r_gender_pesato,r_genere_musicale,quota_donne,peso_mediano
default,82595,702613,0.00020598894807651947,0.9566317573703008,0.07348294489938179,0.05111202665108495,0.1133182025227525,0.5186362976893252,0.13787762525932873,1.0
max_credits=4,59325,242868,0.00013801685249257095,0.9079814580699537,0.06116170945299069,0.039743729155185877,0.10994623319418938,0.5442628463500911,0.13787762525932873,1.0
max_credits=20,93574,1788440,0.00040850617177176846,0.9750678607305449,0.0893471105193363,0.05563158205118671,0.13237615249459614,0.47987093101677375,0.13787762525932873,1.0
peso_min_arco=1.0,54697,383680,0.000256495696695058,0.9231036437098927,0.11021950465137711,0.07390647455654728,0.11996307143635308,0.5786465976125262,0.13787762525932873,1.9599999999999997
peso_min_arco=2.0,40391,191346,0.0002345799691648697,0.8670743482458964,0.09719372474310084,0.06523681277152713,0.11429368022935484,0.6188344734635146,0.13787762525932873,3.0
raccolte_escluse=True,76911,611095,0.00020661766846296183,0.9529456124611564,0.07635598130154268,0.05431097630470082,0.11518623040476696,0.5269256895484521,0.13787762525932873,1.0
crediti_traccia=False,81527,655967,0.00019738511143765994,0.95482478197407,0.07353446153302927,0.0525160149851407,0.08527955675236293,0.5224637689519099,0.13787762525932873,0.18
pesi_specificita=1.0/1.0/1.0,82595,702613,0.00020598894807651947,0.9566317573703008,0.07348294489938179,0.05111202665108495,0.09949564892533332,0.5186362976893252,0.13787762525932873,1.0
pesi_specificita=1.0/0.5/0.1,82595,702613,0.00020598894807651947,0.9566317573703008,0.07348294489938179,0.05111202665108495,0.12109866061496626,0.5186362976893252,0.13787762525932873,1.0
soglia_italianita=0.6,74071,599807,0.0002186507507983817,0.9560691768708401,0.07609884789880487,0.05350143846204847,0.1134382994291224,0.5083019829775669,0.1369513118062563,1.0
soglia_italianita=0.7,62981,470571,0.00023727006358871587,0.9541449008431114,0.0818266817255213,0.05557287782694423,0.12191019482700206,0.5004703962864547,0.1342790913305517,1.0
