decennio,genere_musicale,quota_legami_intra_genere,artisti,donne,uomini,quota_donne,legami,legami_FF,legami_MM,legami_MF,grado_medio_relativo_F,densita_FF,densita_MM,densita_MF,FF_su_MF,FF_su_MF_lo,FF_su_MF_hi,MM_su_MF,MM_su_MF_lo,MM_su_MF_hi,FF_su_MM,oe_FF_grado,z_FF_grado,oe_MM_grado,z_MM_grado,oe_MF_grado,z_MF_grado,affidabile
1950,(all genres),0.6772219981175205,1505,196,1309,0.13023255813953488,14874,122,12452,2300,0.6566587909871492,0.006384092098377813,0.01454526764834374,0.008964624810963346,0.7121426978818284,0.5935863939402228,0.854378111297277,1.622518282143332,1.551924897406138,1.6963227926102455,0.4389119714208054,1.0619777158774373,0.6057218070727791,1.0069009751866673,1.6273366268920304,0.9613527821967496,-1.926775829723379,True
1950,Pop,0.6772219981175205,615,83,532,0.13495934959349593,8940,78,7347,1515,0.6924779655534891,0.022920952101087275,0.05201563230109171,0.03431017302291874,0.6680511953634387,0.5320818103596625,0.8387665034533816,1.5160410956349872,1.4344734918792958,1.6022468290041638,0.4406550701606334,1.115720211700758,1.0795092579015537,0.9962225713362888,-1.342828526968671,1.0132206908359371,0.899325737941801,True
1950,"Folk, World, & Country",0.6772219981175205,168,10,158,0.05952380952380952,386,1,341,44,1.0010362694300519,0.022222222222222223,0.027493348383455615,0.027848101265822784,0.797979797979798,0.10994010150106594,5.791988085236626,0.9872611464968153,0.7212374245854385,1.3514059838789523,0.808276311502118,0.34916201117318435,-1.071981403624991,1.0677137149548803,2.3523877235921633,0.6900661836203381,-2.247365593320818,False
1950,Classical,0.6772219981175205,101,13,88,0.12871287128712872,118,2,90,26,0.9876140808344198,0.02564102564102564,0.023510971786833857,0.022727272727272728,1.1282051282051282,0.2677721602980246,4.7534695537120015,1.0344827586206897,0.6686524859061913,1.6004645169802145,1.0905982905982905,1.2300123001230012,0.3068983849150815,0.9904040848666256,-0.2372348937529485,1.0195278801662615,0.1311123462426575,False
1950,Jazz,0.6772219981175205,113,4,109,0.035398230088495575,250,3,243,4,0.5650000000000001,0.5,0.04128440366972477,0.009174311926605505,54.5,12.197438548447657,243.51424179775987,4.5,1.6753874894604395,12.086756125009348,12.11111111111111,50.0,12.367247410424012,1.0064362217638727,1.3791565985565581,0.4709206498704968,-3.7596209242923813,False
1950,Non-Music,0.6772219981175205,104,15,89,0.14423076923076922,293,4,248,41,0.579749715585893,0.0380952380952381,0.06332992849846783,0.030711610486891385,1.2404181184668992,0.44430499811494145,3.463020031620076,2.062084257206209,1.4818352410741515,2.8695440396837615,0.6015360983102919,1.6792611251049538,0.8448872108554627,1.0256919284662596,0.8206882719140445,0.839647757526111,-1.1328492385961328,False
1960,(all genres),0.6593832958954462,4764,746,4018,0.15659109991603695,44073,546,35242,8285,0.6793510206591806,0.0019648415711535348,0.00436695562029617,0.0027640363671787944,0.7108595221411705,0.651889275040493,0.7751642488479112,1.5799197406195666,1.5425596629522886,1.6181846619935925,0.4499339452916808,1.0875064234582705,1.9705113123051023,1.0011121258648092,1.2827267361340509,0.9900713233758169,-1.7575305420795844,True
1960,Rock,0.6593832958954462,143,4,139,0.027972027972027972,210,0,203,7,0.5958333333333333,0.0,0.02116567615472839,0.012589928057553957,0.0,,,1.681159420289855,0.7913689199503509,3.5714025724015523,0.0,0.0,-0.2478870368027776,1.0004829917891396,0.13468262914561394,0.9943181818181818,-0.04767964470675289,False
1960,Pop,0.6593832958954462,1801,299,1502,0.1660188784008884,25178,270,20230,4678,0.6241591972181479,0.006060470023119571,0.017946313642658113,0.010416434720261502,0.5818180774781857,0.5146474018247171,0.6577557257263789,1.7228844729137394,1.6689623362693333,1.7785487679982197,0.33769999476181706,1.0403181061586833,0.6832041741403335,1.0007996502989338,0.70576797574687,0.9943400413380187,-0.7896542143977037,True
1960,"Folk, World, & Country",0.6593832958954462,643,79,564,0.12286158631415241,1849,22,1509,318,0.7967563719013357,0.007140538786108407,0.009504553871735762,0.007137085914354969,1.0004837929366233,0.6494673222267398,1.5412135232562134,1.3317135292737692,1.180015129913058,1.5029137161838464,0.7512755340724236,1.2272676559187774,1.0181008205315494,1.006861873763942,0.6434210704843958,0.9567995956167746,-0.8896197622312849,True
